[0103.93] Log: Obj List: obj list
[0103.93] Log: Objects:
[0103.93] Log: 
[0104.32] Log:                                                                                                 Class  Count   NumBytes   MaxBytes   ResBytes TrueResBytes
[0104.33] Log:                                                                            CrossDLCClassModDefinition     24         36K         36K          0K          0K
[0104.33] Log:                                                                                      TerrainComponent     52         36K         36K         43K          0K
[0104.33] Log:                                                            MaterialExpressionTextureSampleParameter2D    288         36K         36K          0K          0K
[0104.33] Log:                                                                                      ObjectRedirector    570         35K         35K          0K          0K
[0104.33] Log:                                                                     MaterialExpressionScalarParameter    371         34K         34K          0K          0K
[0104.33] Log:                                                                          LevelTravelStationDefinition    164         33K         33K          0K          0K
[0104.33] Log:                                                                                            LinkerLoad     12         33K         33K          0K          0K
[0104.33] Log:                                                               ParticleModuleLocationPrimitiveCylinder    121         32K         32K          0K          0K
[0104.33] Log:                                                                           NxForceFieldRadialComponent     51         31K         31K          0K          0K
[0104.33] Log:                                                                                ArtifactPartDefinition    104         31K         31K          0K          0K
[0104.33] Log:                                                                    DistributionFloatParticleParameter    278         30K         30K          0K          0K
[0104.33] Log:                                                                WillowSkelControl_RotateFlapFromFiring    127         29K         29K          0K          0K
[0104.33] Log:                                                                       Behavior_UpdateMissionObjective    373         29K         29K          0K          0K
[0104.33] Log:                                                                                   WillowUIInteraction      1         26K         28K          0K          0K
[0104.33] Log:                                                                                    AnimNotify_AkEvent    369         28K         28K          0K          0K
[0104.33] Log:                                                                         GestaltSkeletalMeshDefinition      9         28K         28K          0K          0K
[0104.33] Log:                                                                                        PlayerSaveGame      8         23K         28K          0K          0K
[0104.33] Log:                                                                  ObjectPropertyAttributeValueResolver    392         27K         27K          0K          0K
[0104.33] Log:                                                                    ParticleModuleVelocityOverLifetime    131         27K         27K          0K          0K
[0104.33] Log:                                                               MaterialExpressionStaticSwitchParameter    172         26K         26K          0K          0K
[0104.33] Log:                                                                                    GearboxDialogEvent    208         26K         26K          0K          0K
[0104.33] Log:                                                                                 SkeletalMeshComponent     11         25K         25K          8K          8K
[0104.33] Log:                                                                                   LevelDependencyList     12         23K         23K          0K          0K
[0104.33] Log:                                                                   DistributionVectorParticleParameter    151         23K         23K          0K          0K
[0104.33] Log:                                                                                      AnimNodeSequence     74         23K         23K          0K          0K
[0104.33] Log:                                                                                   GearboxAccountOffer     34         22K         22K          0K          0K
[0104.33] Log:                                                                                      WillowDamageArea     43         21K         22K          0K          0K
[0104.33] Log:                                                                               GearboxDialogAct_Chance    138         21K         21K          0K          0K
[0104.33] Log:                                                              DLCLegacyPlayerClassIdentifierDefinition     51         21K         21K          0K          0K
[0104.33] Log:                                                                               KeyedItemPoolDefinition    103         21K         21K          0K          0K
[0104.33] Log:                                                                          InventoryAttributeDefinition    199         20K         20K          0K          0K
[0104.33] Log:                                                                          AttributeExpressionEvaluator    267         20K         20K          0K          0K
[0104.33] Log:                                                                         SkillAttributeContextResolver    176         20K         20K          0K          0K
[0104.33] Log:                                                                   InteractiveObjectLootListDefinition     24         20K         20K          0K          0K
[0104.33] Log:                                                                                WillowPlayerController      1         16K         20K          0K          0K
[0104.33] Log:                                                                                     WillowPlayerStats      1         20K         20K          0K          0K
[0104.33] Log:                                                                                 Behavior_CompareFloat    228         19K         19K          0K          0K
[0104.33] Log:                                                                     ParticleModuleOrientationAxisLock    267         18K         18K          0K          0K
[0104.33] Log:                                                                                  WillowAnimDefinition     96         18K         18K          0K          0K
[0104.33] Log:                                                                                      WillowPointLight     33         18K         18K          0K          0K
[0104.33] Log:                                                                              Behavior_AddInstanceData     99         17K         17K          0K          0K
[0104.33] Log:                                                                                  Behavior_PostAkEvent    191         17K         17K          0K          0K
[0104.33] Log:                                                                           FastTravelStationDefinition     66         17K         17K          0K          0K
[0104.33] Log:                                                                                        Behavior_Delay    226         17K         17K          0K          0K
[0104.33] Log:                                                                                        BehaviorKernel      1          0K         17K          0K          0K
[0104.33] Log:                                                                               Behavior_SetVectorParam    158         17K         17K          0K          0K
[0104.33] Log:                                                                                         SeqAct_Interp     16         15K         16K          0K          0K
[0104.33] Log:                                                                                 Behavior_DebugMessage    110         16K         16K          0K          0K
[0104.33] Log:                                                                                                 Polys      8         16K         16K          0K          0K
[0104.33] Log:                                                                             SparkServiceConfiguration      5         13K         15K          0K          0K
[0104.33] Log:                                                                     UIDataProvider_PlayerAchievements      1         14K         15K          0K          0K
[0104.33] Log:                                                                                 ForceFeedbackWaveform    146         14K         14K          0K          0K
[0104.33] Log:                                                                                               AnimSet     24         14K         14K       1544K          0K
[0104.33] Log:                                                                                       RB_BodyInstance     93         14K         14K          0K          0K
[0104.33] Log:                                                                                   Behavior_SimpleMath    169         14K         14K          0K          0K
[0104.33] Log:                                                                            Behavior_RemoteCustomEvent    103         14K         14K          0K          0K
[0104.33] Log:                                                                                         WillowConsole      1         14K         14K          0K          0K
[0104.33] Log:                                                              PlayerControllerAttributeContextResolver    223         13K         13K          0K          0K
[0104.33] Log:                                                               NoContextNeededAttributeContextResolver    222         13K         13K          0K          0K
[0104.33] Log:                                                                                   PointLightComponent     27         13K         13K          0K          0K
[0104.33] Log:                                                                                WillowImpactDefinition     36         13K         13K          0K          0K
[0104.33] Log:                                                                                      FrontendGFxMovie      1         12K         12K          0K          0K
[0104.33] Log:                                                                                Behavior_SetFloatParam    136         12K         12K          0K          0K
[0104.33] Log:                                                                      WillowDownloadableContentManager      1         11K         12K          0K          0K
[0104.33] Log:                                                                          ParticleModuleLocationDirect     31         12K         12K          0K          0K
[0104.33] Log:                                                                                ItemPoolListDefinition     38         12K         12K          0K          0K
[0104.33] Log:                                                                            ParticleModuleTypeDataMesh    130         12K         12K          0K          0K
[0104.33] Log:                                                                                           ShadowMap1D     97         12K         12K          0K          0K
[0104.33] Log:                                                                        ConstantAttributeValueResolver    191         11K         11K          0K          0K
[0104.33] Log:                                                                                        MissionTracker      1         11K         11K          0K          0K
[0104.33] Log:                                                                                  Behavior_CompareBool    149         11K         11K          0K          0K
[0104.33] Log:                                                                                   ExplosionDefinition     39         11K         11K          0K          0K
[0104.33] Log:                                                                    ParticleModuleSizeScaleOverDensity      9         11K         11K          0K          0K
[0104.33] Log:                                                                          WillowDialogAct_RandomBranch     46         11K         11K          0K          0K
[0104.33] Log:                                                                            ParticleModuleMeshRotation     73         11K         11K          0K          0K
[0104.33] Log:                                                                                               Emitter     26         10K         11K          0K          0K
[0104.33] Log:                                                        MaterialExpressionStaticComponentMaskParameter     88         11K         11K          0K          0K
[0104.33] Log:                                                                              InputRemappingDefinition     17         10K         10K          0K          0K
[0104.33] Log:                                                                               Behavior_SetObjectParam    117         10K         10K          0K          0K
[0104.33] Log:                                                                             ProjectileBehavior_Bounce     99         10K         10K          0K          0K
[0104.33] Log:                                                                                     Behavior_BoolMath    125         10K         10K          0K          0K
[0104.33] Log:                                                                                      Behavior_IntMath    125         10K         10K          0K          0K
[0104.33] Log:                                                                                ClassModPartDefinition     38         10K         10K          0K          0K
[0104.33] Log:                                                                           ProjectileBehavior_Detonate    136         10K         10K          0K          0K
[0104.33] Log:                                                                ParticleModuleRotationRateMultiplyLife     90         10K         10K          0K          0K
[0104.33] Log:                                                                                  InterpTrackFloatProp     36          9K          9K          0K          0K
[0104.33] Log:                                                                                 WillowProfileSettings      1          9K          9K          0K          0K
[0104.33] Log:                                                                          Behavior_SpawnParticleSystem     64          9K          9K          0K          0K
[0104.33] Log:                                                                                   Behavior_CompareInt    109          9K          9K          0K          0K
[0104.33] Log:                                                                              Behavior_DeactivateSkill    109          9K          9K          0K          0K
[0104.33] Log:                                                                         InterpTrackFloatMaterialParam     21          9K          9K          0K          0K
[0104.33] Log:                                                                                   AnimNotify_Footstep    130          9K          9K          0K          0K
[0104.33] Log:                                                                               SpecialMove_FirstPerson     48          9K          9K          0K          0K
[0104.33] Log:                                                                       SphericalHarmonicLightComponent     17          9K          9K          0K          0K
[0104.33] Log:                                                                               WillowDialogAct_Trigger     59          8K          8K          0K          0K
[0104.33] Log:                                                                                ManufacturerDefinition     22          8K          8K          0K          0K
[0104.33] Log:                                                                               Behavior_IntSwitchRange    102          8K          8K          0K          0K
[0104.33] Log:                                                                             TrainingMessageDefinition     44          8K          8K          0K          0K
[0104.33] Log:                                                                                 InputDeviceDefinition     16          8K          8K          0K          0K
[0104.33] Log:                                                                                Behavior_ActivateSkill     84          8K          8K          0K          0K
[0104.33] Log:                                                                              UsableItemPartDefinition     31          8K          8K          0K          0K
[0104.33] Log:                                                                                        BrushComponent      8          8K          8K          0K          0K
[0104.33] Log:                                                                             ClassModBalanceDefinition     56          8K          8K          0K          0K
[0104.33] Log:                                                                                           InterpGroup     74          8K          8K          0K          0K
[0104.33] Log:                                                                MissionObjectiveSetBranchingDefinition     13          8K          8K          0K          0K
[0104.33] Log:                                                                           CoordinatedEffectDefinition     21          7K          7K          0K          0K
[0104.33] Log:                                                                            CrossDLCItemPoolDefinition      9          7K          7K          0K          0K
[0104.33] Log:                                                                                  InterpTrackColorProp     12          7K          7K          0K          0K
[0104.33] Log:                                                                        ParticleModuleMeshRotationRate     51          7K          7K          0K          0K
[0104.33] Log:                                                                                   Behavior_VectorMath     74          7K          7K          0K          0K
[0104.33] Log:                                                                                  Behavior_FailMission     96          7K          7K          0K          0K
[0104.33] Log:                                                                                WillowRegionDefinition    120          7K          7K          0K          0K
[0104.33] Log:                                                                                      WillowGameEngine      1          7K          7K          0K          0K
[0104.33] Log:                                                                                  IntAttributeProperty     56          7K          7K          0K          0K
[0104.33] Log:                                                                                   Behavior_ChangeSpin     78          7K          7K          0K          0K
[0104.33] Log:                                                                                    SeqCond_CompareInt     12          6K          7K          0K          0K
[0104.33] Log:                                                                          UIDataProvider_OnlineFriends      1          7K          7K          0K          0K
[0104.33] Log:                                                                                 PlayerClassDefinition      6          7K          7K          0K          0K
[0104.33] Log:                                                                              Behavior_AttributeEffect     62          7K          7K          0K          0K
[0104.33] Log:                                                                        PlayerNameIdentifierDefinition      6          6K          6K          0K          0K
[0104.33] Log:                                                                            SeqAct_ActivateRemoteEvent     27          6K          6K          0K          0K
[0104.33] Log:                                                                DownloadableCustomizationSetDefinition     46          6K          6K          0K          0K
[0104.33] Log:                                                                                  Behavior_CauseDamage     28          6K          6K          0K          0K
[0104.33] Log:                                                                     Behavior_ChangeInstanceDataSwitch     72          6K          6K          0K          0K
[0104.33] Log:                                                                     ProjectileBehavior_TagPayloadType     86          6K          6K          0K          0K
[0104.33] Log:                                                                         Behavior_ClientConsoleCommand     56          6K          6K          0K          0K
[0104.33] Log:                                                                           DesignerAttributeDefinition     50          6K          6K          0K          0K
[0104.33] Log:                                                                                  Behavior_ModifyTimer     71          6K          6K          0K          0K
[0104.33] Log:                                                                                           MapProperty     50          6K          6K          0K          0K
[0104.33] Log:                                                                       AIPawnBalanceModifierDefinition     27          6K          6K          0K          0K
[0104.33] Log:                                                                           WillowDialogEmoteDefinition    103          6K          6K          0K          0K
[0104.33] Log:                                                                                           InterpActor     12          6K          6K          0K          0K
[0104.33] Log:                                                                       ResourcePoolAttributeDefinition     61          6K          6K          0K          0K
[0104.33] Log:                                                               UIDataProvider_OnlinePlayerStorageArray     34          5K          6K          0K          0K
[0104.33] Log:                                                                             OnlineSubsystemSteamworks      1          5K          6K          0K          0K
[0104.33] Log:                                                                               ParticleModuleBeamNoise      7          6K          6K          0K          0K
[0104.33] Log:                                                                      DynamicLightEnvironmentComponent     20          5K          5K          0K          0K
[0104.33] Log:                                                                             StaticMeshCollectionActor      5          5K          5K          0K          0K
[0104.33] Log:                                                                              DistributionFloatUniform     64          5K          5K          0K          0K
[0104.33] Log:                                                                                         Behavior_Gate     63          5K          5K          0K          0K
[0104.33] Log:                                                                           ParticleModuleTypeDataBeam2     20          5K          5K          0K          0K
[0104.33] Log:                                                                                         SeqVar_Object     53          5K          5K          0K          0K
[0104.33] Log:                                                                            WillowDamageTypeDefinition     21          5K          5K          0K          0K
[0104.33] Log:                                                                                         SeqAct_SetInt     12          4K          5K          0K          0K
[0104.33] Log:                                                                       WillowSkelControlLerpSingleBone     20          5K          5K          0K          0K
[0104.33] Log:                                                                       PlayerClassIdentifierDefinition      6          5K          5K          0K          0K
[0104.33] Log:                                                                                   ParticleModuleOrbit     15          5K          5K          0K          0K
[0104.33] Log:                                                                              BodyWeaponHoldDefinition     18          5K          5K          0K          0K
[0104.33] Log:                                                                               Behavior_ClearObjective     65          5K          5K          0K          0K
[0104.33] Log:                                                                                ResourcePoolDefinition     24          4K          4K          0K          0K
[0104.33] Log:                                                                                 InputActionDefinition     49          4K          4K          0K          0K
[0104.33] Log:                                                                                      WillowPlayerPawn      1          4K          4K          0K          0K
[0104.33] Log:                                                                                 Behavior_RandomBranch     49          4K          4K          0K          0K
[0104.33] Log:                                                                                         PlayerStandIn      4          4K          4K          0K          0K
[0104.33] Log:                                                                                AnimNotify_UseBehavior     57          4K          4K          0K          0K
[0104.33] Log:                                                                                      WwiseSoundVolume      5          4K          4K          0K          0K
[0104.33] Log:                                                                           GearboxDialogVar_Instigator     43          4K          4K          0K          0K
[0104.33] Log:                                                                            WillowAnimNodeFeatherBlend     10          4K          4K          0K          0K
[0104.33] Log:                                                                              ParticleModuleBeamTarget     19          4K          4K          0K          0K
[0104.33] Log:                                                                           Behavior_MissionCustomEvent     53          4K          4K          0K          0K
[0104.33] Log:                                                                              ParticleModuleBeamSource     19          4K          4K          0K          0K
[0104.33] Log:                                                                                          SeqVar_Named     44          4K          4K          0K          0K
[0104.33] Log:                                                                       WillowExplosionImpactDefinition     12          4K          4K          0K          0K
[0104.33] Log:                                                                                      PhysicalMaterial     27          4K          4K          0K          0K
[0104.33] Log:                                                                                  PhysicsAssetInstance     21          4K          4K          0K          0K
[0104.33] Log:                                                                                        CameraAnimInst     10          4K          4K          0K          0K
[0104.33] Log:                                                                        Behavior_RunBehaviorCollection     43          4K          4K          0K          0K
[0104.33] Log:                                                                                            WiringMesh      1          4K          4K          4K          0K
[0104.33] Log:                                                                                            CameraAnim     13          4K          4K         19K         19K
[0104.33] Log:                                                                                     GlobalsDefinition      1          4K          4K          0K          0K
[0104.33] Log:                                                                                    WillowCoopGameInfo      1          4K          4K          0K          0K
[0104.33] Log:                                                                                Behavior_CompareObject     48          4K          4K          0K          0K
[0104.33] Log:                                                                                     LightMapTexture2D     18          4K          4K       1836K       1816K
[0104.33] Log:                                                                                      Behavior_Destroy     52          4K          4K          0K          0K
[0104.33] Log:                                                                                 MaterialInstanceActor     10          3K          4K          0K          0K
[0104.33] Log:                                                                                    RB_ConstraintSetup     16          4K          4K          0K          0K
[0104.33] Log:                                                                            GearboxDialogTemplateEvent     30          3K          3K          0K          0K
[0104.33] Log:                                                                        InterpTrackVectorMaterialParam      5          3K          3K          0K          0K
[0104.33] Log:                                                                                 MissionItemDefinition      4          3K          3K          0K          0K
[0104.33] Log:                                                        MaterialExpressionTextureSampleParameterNormal     31          3K          3K          0K          0K
[0104.33] Log:                                                                       ParticleModuleTypeDataMeshPhysX     31          3K          3K          0K          0K
[0104.33] Log:                                                                                             SparkNews      1          3K          3K          0K          0K
[0104.33] Log:                                                                                   BodyClassDefinition      2          3K          3K          0K          0K
[0104.33] Log:                                                          WillowSkelControl_RotateWeaponBoneFromFiring     15          3K          3K          0K          0K
[0104.33] Log:                                                                          ParticleModuleSourceMovement     30          3K          3K          0K          0K
[0104.33] Log:                                                                                         DecalMaterial      4          3K          3K         86K          0K
[0104.33] Log:                                                                               StatusMenuGFxDefinition      1          3K          3K          0K          0K
[0104.33] Log:                                                                                  AnimNodeBlendBySpeed     10          3K          3K          0K          0K
[0104.33] Log:                                                                                          PhysicsAsset     21          3K          3K          0K          0K
[0104.33] Log:                                                                                        PawnAllegiance     27          3K          3K          0K          0K
[0104.33] Log:                                                                        ParticleModuleForceFieldRadial     51          3K          3K          0K          0K
[0104.33] Log:                                                                      ParticleModuleEventReceiverSpawn     19          3K          3K          0K          0K
[0104.33] Log:                                                                         ParticleModuleSizeScaleByTime     20          3K          3K          0K          0K
[0104.33] Log:                                                                                             WillowHUD      1          3K          3K          0K          0K
[0104.33] Log:                                                                              AnimNodeSpecialMoveBlend      8          3K          3K          0K          0K
[0104.33] Log:                                                                                  TextMarkupDictionary      1          3K          3K          0K          0K
[0104.33] Log:                                                                                InterpTrackAnimControl     16          3K          3K          0K          0K
[0104.33] Log:                                                                        WeaponAttributeContextResolver     56          3K          3K          0K          0K
[0104.33] Log:                                                                                    Behavior_Metronome     37          3K          3K          0K          0K
[0104.33] Log:                                                                   AttributePresentationListDefinition     18          3K          3K          0K          0K
[0104.33] Log:                                                                           CustomSkeletalMeshComponent      2          3K          3K          2K          2K
[0104.33] Log:                                                                  ResourcePoolAttributeContextResolver     55          3K          3K          0K          0K
[0104.33] Log:                                                                      DesignerAttributeContextResolver     40          3K          3K          0K          0K
[0104.33] Log:                                                                     DominantDirectionalLightComponent      1          3K          3K          0K          0K
[0104.33] Log:                                                               MissionObjectiveSetCollectionDefinition     16          3K          3K          0K          0K
[0104.33] Log:                                                                          GearboxSkeletalMeshComponent      2          3K          3K          0K          0K
[0104.33] Log:                                                                   InventoryCardPresentationDefinition     26          3K          3K          0K          0K
[0104.33] Log:                                                                          Behavior_IncrementPlayerStat     35          3K          3K          0K          0K
[0104.33] Log:                                                                         DownloadableItemSetDefinition     20          3K          3K          0K          0K
[0104.33] Log:                                                                         DownloadablePackageDefinition     18          3K          3K          0K          0K
[0104.33] Log:                                                                              WeaponPartListDefinition     14          3K          3K          0K          0K
[0104.33] Log:                                                                                TestMapsListDefinition      3          3K          3K          0K          0K
[0104.33] Log:                                                                                 ForceFieldShapeSphere     51          3K          3K          0K          0K
[0104.33] Log:                                                                         Behavior_ChangeBoneVisibility     37          3K          3K          0K          0K
[0104.33] Log:                                                                              SpecialMove_WeaponAction     14          3K          3K          0K          0K
[0104.33] Log:                                                     Behavior_ActivateInstancedMissionBehaviorSequence     33          3K          3K          0K          0K
[0104.33] Log:                                                                    ParticleModuleSizeMultiplyVelocity     23          3K          3K          0K          0K
[0104.33] Log:                                                                            ParticleModuleSpawnPerUnit     23          3K          3K          0K          0K
[0104.33] Log:                                                                                       InterpGroupInst     27          2K          3K          0K          0K
